product_category,item_rows,total_orders,total_item_revenue,avg_item_price,avg_review_score
health_beauty,9670,8836,1441248.07,130.16,4.14
watches_gifts,5991,5624,1305541.61,201.14,4.02
bed_bath_table,11115,9417,1241681.72,93.3,3.9
sports_leisure,8641,7720,1156656.48,114.34,4.11
computers_accessories,7827,6689,1059272.4,116.51,3.93
furniture_decor,8334,6449,902511.79,87.56,3.91
housewares,6964,5884,778397.77,90.79,4.05
cool_stuff,3796,3632,719329.95,167.36,4.15
auto,4235,3897,685384.32,139.96,4.06
garden_tools,4347,3518,584219.21,111.63,4.05
toys,4117,3886,561372.55,117.55,4.16
baby,3065,2885,480118.0,134.34,4.01
perfumery,3419,3162,453338.71,116.74,4.17
telephony,4545,4199,394883.32,71.21,3.95
office_furniture,1691,1273,342532.65,162.01,3.49
stationery,2517,2311,277741.71,91.75,4.2
pet_shop,1947,1710,253876.65,110.07,4.18
computers,203,181,232799.43,1098.34,4.17
musical_instruments,680,628,210137.37,281.62,4.15
Unknown Category,1603,1451,207705.09,112.0,3.84
electronics,2767,2550,206825.06,57.91,4.04
small_appliances,679,630,206668.83,280.78,4.15
fashion_bags_accessories,2031,1864,184273.54,75.25,4.15
consoles_games,1137,1062,177293.24,138.49,4.02
luggage_accessories,1092,1034,170875.21,128.6,4.32
construction_tools_construction,929,748,165328.0,155.73,4.05
home_appliances_2,238,234,123917.92,476.12,4.14
home_construction,604,490,96920.36,137.56,3.94
home_appliances,771,764,94990.43,103.98,4.17
furniture_living_room,503,422,86884.73,137.01,3.9
agro_industry_and_commerce,212,182,78374.07,342.12,4.0
home_confort,434,397,67073.27,134.96,3.83
fixed_telephony,264,217,64220.81,225.69,3.68
air_conditioning,297,253,61774.19,185.27,3.97
kitchen_dining_laundry_garden_furniture,281,248,58327.8,164.87,3.97
audio,364,350,56398.94,139.25,3.83
books_general_interest,553,512,56052.4,84.73,4.45
construction_tools_lights,304,244,48663.8,135.13,4.05
industry_commerce_and_business,268,235,47554.29,148.02,4.1
construction_tools_safety,194,167,44463.62,208.99,3.84
food,510,450,36664.44,57.63,4.22
market_place,311,280,33834.53,91.25,4.02
costruction_tools_garden,238,194,31027.29,108.05,4.05
fashion_shoes,262,240,28481.64,89.93,4.24
art,209,202,28247.81,115.8,3.94
drinks,379,297,28169.95,59.18,4.04
signaling_and_security,199,140,28017.05,108.09,4.09
books_technical,267,260,23379.12,71.52,4.36
food_drink,278,227,19687.47,54.6,4.31
fashion_male_clothing,132,112,12950.23,81.8,3.64
christmas_supplies,153,128,12030.12,57.52,4.02
fashion_underwear_beach,131,121,11457.74,72.84,3.98
