customer_state,customer_city,delivered_orders,late_orders,late_order_rate,avg_review_score
SP,sao paulo,15045,942,6.26,4.23
RJ,rio de janeiro,6601,780,11.82,4.0
BA,salvador,1188,208,17.51,3.8
MG,belo horizonte,2697,166,6.15,4.17
RS,porto alegre,1341,158,11.78,4.06
DF,brasilia,2071,147,7.1,4.13
SP,campinas,1406,143,10.17,4.15
CE,fortaleza,618,111,17.96,3.92
RJ,niteroi,825,103,12.48,4.01
RJ,sao goncalo,385,96,24.94,3.76
PE,recife,593,79,13.32,4.01
GO,goiania,660,76,11.52,4.09
MA,sao luis,335,75,22.39,3.79
PR,curitiba,1489,74,4.97,4.26
SP,guarulhos,1143,72,6.3,4.18
